Street,Date_Issued
Matthewson Rd,190
Maujer St,1112
Maurice Ave,906
May Ave,1
May Pl,6
Mayberry Promenade,7
Maybury Ave,19
Maybury Ct,1
Mayda Rd,50
Mayfair Dr,38
Mayfair Rd,86
Mayfield Rd,119
Mayflower Ave,496
Mayville St,19
Mazeau St,85
Mc Clellan St,137
Mc Donald St,53
Mc Graw Ave,394
Mc Owen Ave,8
McArthur Ave,12
McBaine Ave,21
McBride St,42
McClancy Pl,7
McClean Ave,66
McCllean Street,273
McCormick Pl,11
McDermott Ave,3
McDivitt Ave,8
McDonald Ave,9663
McDonald St,3
McDonough Ave,64
McGraw Ave,650
McGuinness Blvd,1107
McIntosh St,44
McKee Ave,6
McKeever Pl,106
McKenna Sq,21
McKenny St,1
McKibben St,252
McKibbin Ct,8
McKibbin St,605
McKinley Ave,129
McLaughlin Ave,8
McLaughlin St,16
McVeigh Ave,20
Mcclellan Ave.,157
Mead St,201
Meadow Ave,9
Meadow Dr,6
Meadow Pl,7
Meadow Rd,15
Meadow St,130
Meagher Ave,25
Mechanics Alley,57
Medford Rd,1
Medina St,34
Meehan Ave,92
Meeker Ave,3611
Melba Ct,1
Melba St,30
Melbourne Ave,3550
Melhorn Rd,7
Melrose Ave,2378
Melrose Pl,8
Melrose St,806
Melville St,208
Melvin Ave,10
Melvina Pl,26
Melyn Pl,3
Memo St,11
Memorial Cir,65
Memphis Ave,68
Menahan St,1635
Mendelsohn St,2
Mentone Ave,77
Mercer Pl,4
Mercer St,6590
Mercy College Pl,6
Meredith Ave,5
Merle Pl,24
Mermaid Ave,514
Merriam Ave,461
Merrick Blvd,5668
Merrill Ave,36
Merrill St,180
Merriman Ave,10
Merritt Ave,171
Merry Ave,67
Merrymount St,70
Mersereau Ave,20
Meserole Ave,913
Meserole St,2337
Metcalf Ave,586
Metcalfe St,18
Metropolitan Ave,17240
Metropolitan Oval,2157
Metrotech,153
Metrotech Ctr,811
Mexico St,69
Meyer Ave,23
Meyers St,8
Micieli Pl,9
Mickle Ave,196
Middagh St,173
Middle Loop Rd,3
Middleton St,867
Middletown Rd,1747
Midland Ave,53
Midland Pky,1668
Midland Rd,4
Midwood St,945
Milbank Rd,3
Milburn St,22
Milden Ave,3
Mildred Ave,2
Mildred Pl,2
Miles Ave,415
Milford Ave,3
Milford St,211
Mill Ave,198
Mill Ln,31
Mill Rd,51
Mill St,66
Miller Ave,601
Miller Pl,19
Miller St,24
Mills Ave,14
Milton Ave,27
Milton Pl,23
Milton St,941
Mimosa Ln,2
Minerva Pl,169
Minetta Ln,51
Minetta St,8
Minford Pl,253
Minna St,208
Minnieford Ave,37
Minthorne St,99
Minton St,6
Minturn Ave,1
Miriam St,72
Mitchell Pl,94
Mobile Ave,5
Mobile Rd,1
Moffat St,294
Moffett St,13
Mohegan Ave,168
Moline St,44
Monaco Pl,16
Monahan Ave,35
Monitor St,850
Monroe Ave,771
Monroe Pl,730
Monroe St,2911
Monsignor Halpin Pl,3
Montague St,10995
Montague Ter,111
Montana Pl,2
Montauk Ave,478
Montauk Ct,43
Montauk Pl,5
Montauk St,370
Montell St,4
Monterey Ave,826
Monterey St,16
Montgomery Ave,828
Montgomery Pl,269
Montgomery St,1697
Monticello Ave,103
Monticello Ter,7
Montieth St,20
Montreal Ave,23
Montrose Ave,805
Montvale Pl,1
Monument Walk,189
Moody Pl,9
Moore Pl,25
Moore St,1851
Morani St,54
Moreland St,22
Morenci Ln,5
Morgan Ave,774
Morgan Ct,1
Morgan Ln,17
Morgan St,58
Morley Ave,3
Morningside Ave,1522
Morningside Dr,2227
Morningstar Rd,62
Morris Ave,10343
Morris Park Ave,10772
Morris St,767
Morrison Ave,1755
Morton Pl,22
Morton St,1105
Mosco St,17
Mosel Ave,53
Mosely Ave,256
Mosholu Ave,457
Mosholu Pky,240
Mother Gaston Blvd,1109
Motley Ave,3
Mott Ave,1299
Mott St,15427
Moultrie St,107
Mount Carmel Pl,911
Mount Eden Ave,841
Mount Eden Pky,1268
Mount Hope Pl,575
Mount Morris Park,203
Mount Olivet Cres,27
Mountainview Ave,49
Mowbray Dr,364
Msgr Cahill Pl,32
Muhlebach Ct,2
Mulbach Ct,4
Mulberry Ave,56
Mulberry Cir,17
Mulberry St,8547
Mulford Ave,144
Muliner Ave,789
Mullan Pl,9
Muller Ave,10
Mulvey Ave,52
Mundy Ave,19
Mundy Ln,5
Murdock Ave,376
Murdock Ct,110
Muriel Ct,12
Murray Ave,16
Murray Hulbert Ave,36
Murray Ln,68
Murray Pl,1
Murray St,7224
Musket St,28
Myrna Ln,2
Myrtle Ave,33052
N  3 ST,1
N  57TJ ST,1
N  6TH ST,1
N  9TH ST,2
N  BLVD,3
N  CONDUIT,1
N  S/S 41 ST,1
N . END,1
N /E C/O SUTTER AVE,1
N 1 ST,3
N 1 STREET,1
N 10,1
N 10 ST,36
N 10 STREET,0
N 10FT GLENWOOD RD,1
N 10TH ST,9
N 10TH STREET,2
N 10th St,1593
N 11 ST,21
N 11 STREET,1
N 11 TH ST,1
N 113 ST,1
N 119,1
N 11TH ST,7
N 11TH STREET,2
N 11th St,1918
N 12,7
N 12 ST,36
N 12 ST 150 FT,1
N 1209 PRESIDENT ST,1
N 125 STREET,1
N 12TH ST,7
N 12TH STREET,5
N 12th St,1484
N 13 ST,1
N 130 AVE,1
N 138 ST,1
N 13TH ST,1
N 13TH STREET,1
N 13th St,233
N 14 ST,3
N 145,1
N 145 ST,1
N 14TH ST,9
N 14th St,283
N 15 ST,1
N 15TH ST,1
N 15th St,88
N 164 ST,1
N 167,1
N 167 ST,1
N 168TH ST,1
N 17,1
N 17 ST,1
N 183 ST,1
N 192 ST,1
N 1ST,6
N 1ST ST,1
N 1ST STREET,1
N 1st St,544
N 2 ST,1
N 20 ST,1
N 20 STREET,1
N 203,3
N 218 ST,1
N 235TH STREET,1
N 3,1
N 3 ST,47
N 30 AVE,1
N 30 ST,2
N 34 ST,1
N 35TH ST,1
N 36 ST,1
N 38 ST,1
N 3RD,1
N 3RD AVE,1
N 3RD ST,12
N 3RD STREET,10
N 3ST,1
N 3rd St,1262
N 4,1
N 4  ST,1
N 4 ST,32
N 4 STREET,1
N 42 ST,1
N 43 ST,1
N 44 ST,1
N 45 ST,1
N 46 ST,1
N 47TH ST,1
N 48 ST,2
N 4TH,1
N 4TH ST,10
N 4TH STREET,4
N 4th St,1159
N 5 ST,39
N 5 ST EDCE WATER PA,1
N 5 STREET,2
N 50 ST,1
N 5TH AVE,1
N 5TH ST,19
N 5TH ST AND WATERFR,1
N 5TH ST EDGE WATER,1
N 5TH STREET,4
N 5th St,1462
N 6,1
N 6 ST,98
N 6 STREET,16
N 67TH AVE,1
N 68 ST,1
N 6ST,1
N 6TH,1
N 6TH ST,37
N 6TH STREET,15
N 6th St,2413
N 7,3
N 7 ST,56
N 7 STREET,8
N 77TH ST,1
N 7TH,2
N 7TH AVE,2
N 7TH MECKER AVE,1
N 7TH ST,16
N 7TH STREET,8
N 7th St,2105
N 8 ST,32
N 8 STREET,1
N 8 TH ST,1
N 8TH,2
N 8TH ST,16
N 8TH STREET,1
N 8th St,1503
N 9 ST,21
N 9 STREET,1
N 96 ST,1
N 9TH,3
N 9TH ST,9
N 9TH STREET,2
N 9th St,1644
N ANDLAM ST,1
N ASBY PL,1
N AVENUE,2
N BEVERLY RD,1
N BLVD,9
N BLW,1
N BURGER AVE,2
N BURGHER,4
N BURGHER AVE,8
N BURGLAS,1
N BURLER AVE,1
N BURNSIDE AVE,1
N Burgher Ave,124
N CHANNEL BRIDGE,2
N CHANNEL BRIDGE S/E,1
N CHOLS AVE,1
N CONCODAN AVE,1
N CONDONY AVE,1
N CONDUCT BLVD,1
N CONDUI AVE,1
N CONDUIT,11
N CONDUIT AV,1
N CONDUIT AVE,17
N CONDUIT AVE (W/B),3868
N CONDUIT BLVD,2
N CONDUIT ST,1
N COUDUIT,1
N CPW 50 FT N/O,1
N Chestnut Dr,12
N Conduit Ave,143
N Conduit Blvd,6
N E A,1
N E/O MT EDEN AVE,1
N ELLIEOT PL,1
N ELLIOT,3
N ELLIOT PL,6
N ELLIOT PLACE,2
N ELLIOT WALK,2
N ELLIOT WAY,1
N ELLIOT WK,3
N ELLIOT WLK,1
N ELLIOTT,4
N ELLIOTT  PL,2
N ELLIOTT PL,1
N ELLIOTT UNDER BQE,1
N ELLIOTT WALK,5
N END,7
N END AV,1
N END AVE,59
N END AVENUE,2
N END CHAMBERS,1
N END ST,2
N END WAY,1
N Elliott Pl,48
N Elliott Walk,13
N FORTLAND AVE,1
N GANNON AVE,1
N GREENWICH ST,1
N Gannon Ave,25
N HANGAR RD,1
N HARVY ST,1
N HENREY STREET,1
N HENRY,1
N HENRY ST,32
N HENRY STREET,1
N HERNY ST,2
N Henry St,447
N I/O CATHERINE SLIP,1
N MADA AVE,1
N MOORE,18
N MOORE AVE,1
N MOORE ST,79
N MOORE STREET,1
N MORE ST,1
N MORRE ST,1
N MT EDEU AVE,2
N Mada Ave,47
N Moore St,535
N ND AVE,1
N NEW YORK AVE,1
N O LENOX RD,1
N OAK DR,2
N OAK DRIVE,2
N OF 28 AVE,1
N OF 41 ST,1
N OF 47 AV,1
N OF AVE C,1
N OF E 10 ST,1
N OF E 11 ST,1
N OF E 121 ST 100 FT,1
N OF E 44 ST,1
N OF E 48 ST,1
N OF E HOUSTON,1
N OF FOSTER AVE,1
N OF I/O BAY PARK E,1
N OF JOHNSON,1
N OF N/E C/O N 8TH,3
N OF N/W C/O 110 AVE,1
N OF N/W CORNER OF,2
N OF SURF AVE,2
N OF W 118 ST,1
N OF WASHINGTON ST,1
N OXFORD,5
N OXFORD ST,2
N OXFORD WALK,6
N Oak Dr,66
N Oxford St,192
N Oxford Walk,13
N PINE TERR,1
N PLAZA,2
N PORLAND AVE,1
N PORTLAND,11
N PORTLAND AVE,30
N PORTLARD AVE,1
N Portland Ave,353
N RADROAD AVE,1
N RAELROAD AVE,1
N RAIL RD,2
N RAIL ROAD AVE,1
N RAILROAD AVE,19
N RAILROAD ST,2
N RAILROAD STREET,1
N Railroad Ave,345
N Railroad St,9
N Randall Ave,9
N Rhett Ave,1
N SIDE 38 AVE,1
N SIDE DITMARS BLVD,1
N SIDE OF DUMONT,1
N SIDE OF E 228 ST,1
N SIDE OF MURRAY ST,1
N SIDE OF PACIFIC,2
N SIDE PEARL ST,2
N SIDE W 15 ST,1
N St Austins Pl,90
N THOORE ST,1
N TLENRY ST,1
N TRAIL ROAD,2
N UT AVE,1
N UTERCHT,1
N UTRECHT,2
N UTREHT AVENUE,2
N W GEORGIA AV,1
N WEST 123,1
N WINTHROP ST,1
N Washington Ave,2
N Y AVE,1
N. 10 ST,10
N. 107 ST,1
N. 12 ST,1
N. 3 ST,2
N. 4 ST,1
N. 5 ST,1
N. 6 ST,6
N. 6TH ST,4
N. 7 ST,1
N. 7TH ST,2
N. 9TH ST,1
N. BLVD,1
N. BURGHER AVE,1
N. CONDUIT,2
N. CONDUIT AVE,5
N. CONDUIT AVE.(W/B),22
N. ELLIOT PL UNDER B,1
N. ELLIOT PLACE,1
N. ELLIOT UNDER BQE,1
N. ELLIOT WALK,6
N. ELLIOTT,3
N. ELLIOTT PL,1
N. ELLIOTT WALK,1
N. ELLIOTT WLK,1
N. END AVE,11
N. END ST,1
N. GANNON AVE,1
N. HENRY ST,5
N. MADA,1
N. MODA,1
N. MOORE ST,2
N. MOORSE ST,1
N. MOROE ST,1
N. OXFORD WALK,1
N. PORTLAND,3
N. PORTLAND AV,1
N. PORTLAND AVE,5
N. PORTLAND RD,1
N. SIDE OF WARREN ST,1
N.10 ST,1
N.3 ST,4
N.47TH ST,1
N.5 ST,1
N.6 ST,2
N.6 TH ST,2
N.6 TH STREET,2
N.8 ST,1
N.9 ST,1
N.B SIDE 7 AVE 100 F,1
N.BURGHER AVE,1
N.E 86ST,1
N.E C/O QUARRY RD,2
N.E ORCHARD,1
N.E.C. 8TH AVE,1
N.ELLIOT WALK,1
N.END AV,1
N.END AVE,3
N.HENRY ST,1
N.MOORE ST,7
N.OXFORD AVE,1
N.OXFORD WALK,1
N.PORTLAND AVE,3
N.S 135 ST,1
N.S 8 AVE 70FT,1
N.S AMHERST 20FT,1
N.S ATLANTIC AVE,2
N.Y. AVE,3
N/ 43 AV,1
N/ AVE K,1
N/ B E 84 ST,1
N/ C/O 62 ST,1
N/ C/O 84 ST,1
N/ CO N 8TH,1
N/ SAVENUE K,1
N/ W 147 ST,1
N/ W 58TH ST,0
N/.S MURRAY ST,11
N/.S WOODRUFF AV 40F,1
N//E C/O AVE V,1
N//S 67TH ST,1
N//S LAFAYETTE,1
N//W C/O 148 RD,1
N//W C/O BERRY ST,1
N/A 135TH ST,1
N/A C/O 78,1
N/A C/O 79,1
N/A C/O E 77,1
N/A C/O E 87,1
N/A CITY COLLEGE,1
N/A WHITESTONE EXPWY,1
N/B  7TH AVE,2
N/B /O SPRINGFIELD B,1
N/B 1 ST,1
N/B 10 AVE,2
N/B 102 ST,1
N/B 108 ST,1
N/B 11 AVE,1
N/B 111 ST,1
N/B 112 ST,1
N/B 12 AVE,31
N/B 12 ST,1
N/B 134 ST,1
N/B 135 ST,1
N/B 135TH ST,2
N/B 147 ST,2
N/B 153 ST,2
N/B 160 ST,4
N/B 180 ST,0
N/B 1ST AVE,8
N/B 2 AVE,1
N/B 210 ST,1
N/B 212 ST,3
N/B 212 STREET,1
N/B 212TH ST,1
N/B 212TH STREET,1
N/B 256 ST,1
N/B 3 AVE,3
N/B 3 AVENUE,1
N/B 36TH ST,1
N/B 3RD AV,4
N/B 3RD AVE,14
N/B 4 AVE,1
N/B 40 ST,1
N/B 51 ST,2
N/B 51TH ST,1
N/B 56 AVE,1
N/B 59 AVE,1
N/B 6 AVE,2
N/B 60 LN,1
N/B 610 RIVERSIDE DR,1
N/B 64 ST,2
N/B 64 STREET,1
N/B 65 AVE,1
N/B 69 ST 60FT,2
N/B 7 AVE,2
N/B 736 RIVERSIDE D,1
N/B 74 ST 100,1
N/B 74ST 100,2
N/B 757 EAST 85 ST,1
N/B 78 ST,4
N/B 79 ST 80,1
N/B 7TH AVE,19
N/B 80 ST,1
N/B 81 ST,3
N/B 86 AVE,1
N/B 94 ST,1
N/B 97 PL,1
N/B ALANTIE AVE,1
N/B ALBEE SQ,1
N/B ALLEN ST,2
N/B AMSTERDAM AVE,5
N/B ARCHER AVE,0
N/B AUTUM AVE,1
N/B AUTUMN AV,1
N/B AUTUMN AVE,1
N/B AVE C I/O E 82ND,1
N/B AVE L,3
N/B BANK ST,1
N/B BAXTER AVE,1
N/B BAY,1
N/B BAY PARKWAY,5
N/B BEAVER,1
N/B BEDFORD,3
N/B BEDFORD AV,1
N/B BEDFORD AVE,7
N/B BERRY,1
N/B BERRY ST,4
N/B BLOOMINGDALE RD,1
N/B BOERUM PL,4
N/B BOERUM PLACE,1
N/B BORUM PLACE,1
N/B BOWNE ST,1
N/B BRIGHTON 14 ST,1
N/B BROADWAY,9
N/B BRUCKNER BLVD,1
N/B C/O 145 ST,1
N/B C/O 219TH ST,2
N/B C/O BEDFORD,4
N/B C/O BRONX PARK E,1
N/B C/O CASTLE HILL,2
N/B C/O CLAFLIN AVE,1
N/B C/O E 141 ST,1
N/B C/O E 17 ST,1
N/B C/O E 219,4
N/B C/O E 42 ST,1
N/B C/O EAST 17,1
N/B C/O OTTO RD,1
N/B C/O W 122,1
N/B C/O W 237 ST,1
N/B CABRINI BLVD,1
N/B CADMAN PL,1
N/B CADMAN PLAZA,2
N/B CADMAN PLAZA WES,3
N/B CADMAN PLAZZA,1
N/B CALLOWAY ST,3
N/B CENTRE,1
N/B CLAREMONT AVE,1
N/B CLAY AVE,1
N/B CLINTON ST,1
N/B COLDEN ST,1
N/B COLLEGE POINT BL,1
N/B COLUMBIA ST,1
N/B CROSS BAY BLVD,1
N/B CROSSBAY,1
N/B CROSSBAY BLV,1
N/B CROSSBAY BLVD,13
N/B DEAR BORN CT,1
N/B E 10,1
N/B E 120,1
N/B E 12TH ST,1
N/B E 135 ST,1
N/B E 35,1
N/B E 80,6
N/B E 94 ST,1
N/B E 96 ST,1
N/B E 98 STREET,1
N/B E 99 ST,10
N/B E 99 STREET,4
N/B E.233 ST,0
N/B EDLERT,1
N/B EUCLID AVE,1
N/B FOSTER C/O E 87,0
N/B FOUNTAIN,1
N/B FRANCIS LEWIS BL,4
N/B GERARD,1
N/B GRAHAM AVE,1
N/B HENRY HUDSON PKW,1
N/B HENRY HUDSON SER,1
N/B HOOK CREEK BLVD,1
N/B HORACE HARDING E,1
N/B HUDSON ST,5
N/B JEROME AVE,1
N/B JFK EXAY,0
N/B JOHN AVE,1
N/B LINCOLN AV,1
N/B LINCOLN AVE,2
N/B LOGAN ST 50FT,1
N/B LORIMER ST,5
N/B MACDONALD AVE,1
N/B MADISON AVE,1
N/B MAIN ST,5
N/B MAIN ST E/O NORT,1
N/B MAIN ST E/S,1
N/B MAJOR DEEGAN SRV,1
N/B MANGIN ST,1
N/B MARKET ISLIP,1
N/B MARKET SLIP,4
N/B MARKET ST,2
N/B MEDIAN B 94,1
N/B MONACO PL,1
N/B MORNINGSIDE DR,1
N/B NASHVILLE BLVD,1
N/B NAVY ST,1
N/B NEVINS ST,1
N/B NORTH CHANNEL,2
N/B NORTH CHANNEL BR,2
N/B NORTHERN BLVD,1
N/B OF E 135TH ST,1
N/B ON 4TH AVE,1
N/B ON 7TH AVE,1
N/B ON BANK ST,1
N/B ON E 10 ST,1
N/B ON E 81 ST,1
N/B ON E 94 ST 75FT,1
N/B ON E 96 STREET,1
N/B ON PITT ST,0
N/B ON WEST ST,1
N/B ON WHITESTONE EX,2
N/B PARK AVE,1
N/B PARSONS BLVD,3
N/B PRINCE ST,33
N/B PRINCE ST 25FT,1
N/B PRINCE ST 75FT,1
N/B QUEENS BLVD,1
N/B QUENTIN RD,1
N/B QUENTINE RD,4
N/B RIDGE BLVD,1
N/B RIVERSIDE AVE,1
N/B RIVERSIDE DR,4
N/B RIVERSIDE DRIVE,3
N/B ROCHESTER AVE,1
N/B RSD,4
N/B SEDGWICK AVE,1
N/B SHEPHERD AVE,1
N/B SHERIDAN AV,1
N/B SHORE BLVD 20,1
N/B SIDE E 147,2
N/B SKILLMAN,1
N/B SKILLMAN AVE,1
N/B SMITH ST,1
N/B SO MURRY,0
N/B SOUTH ST,1
N/B SPRINGFIELD BLVD,7
N/B ST ANNS AVE,2
N/B ST ANNS ST,1
N/B SUTTON PL,1
N/B THIRD AVE,1
N/B VAN SICLEN BLVD,10
N/B VAN WYCK EXP RAM,1
N/B VAN WYCK SERVICE,1
N/B VAN WYCK SR,1
N/B VERMONT ST,2
N/B VLIEGH PL 25FT,1
N/B W 113 ST,2
N/B W 150 ST,1
N/B W 207 ST,1
N/B W 7 ST,2
N/B W 7TH ST,1
N/B W/S E 100 ST,1
N/B W/S MONROE ST,1
N/B W7 ST 50FT,1
N/B WASHINGTON ST,2
N/B WATER ST,1
N/B WEBSTER CT,1
N/B WEST ST,35
N/B WEST ST 5FT N/O,1
N/B WHITE SHORE,1
N/B WHITESTONE EWY,1
N/B WHITESTONE EXPRY,0
N/B WHITESTONE EXPWY,5
N/B WHITESTONE EXPY,3
N/B WHITESTONE EXWPY,1
N/B WHITESTONE EXWY,1
N/B WHITESTONE SERVI,2
N/B WOODHAVEN BLVD,2
N/B WYTHE AVE,13
N/B YELLOWSTONE BLVD,2
N/B/ 53 ST,1
N/BC/O BRONXDALE AVE,1
N/BC/O HARMAN ST,1
N/BE/S MAIN ST 40,1
N/BESSEX ST,1
N/BW 133 ST,1
N/C 163RD PL,1
N/C 43,1
N/C 52 ST,2
N/C AVEJ,2
N/C C/O 3RD AVE,1
N/C C/O ASTIN AVE,2
N/C C/O CHURCH,2
N/C C/O CROSS EXPY,1
N/C C/O E 82ND ST,1
N/C C/O FOCH,1
N/C C/O GRAVESEND NE,2
N/C C/O HOOPER,1
N/C C/O LINDIN,2
N/C C/O MERRY ST,1
N/C C/O OCEAN AVE,2
N/C C/O TIEBOUT AVE,1
N/C E 122,1
N/C E 127,1
N/C E 56,1
N/C OF 2ND AVENUE,1
N/C RALPH,1
N/C VERMONT ST,1
N/C/C/O WILLETS PT B,1
N/C/O 25 RD,1
N/C/O CLARENDEN RD,2
N/C/O E 91 ST,1
N/CORNER STATE ST,1
N/D 163 ST 30FT,1
N/D ASHFORD,1
N/D DADISON ST B/W,1
N/D FLATLANDS AVE,1
N/D RUTLAND RD,1
N/D WEST ST,1
N/E  83  FLATLANDS A,1
N/E  C/O 20 AVE,1
N/E  C/O SULLIVAN ST,1
N/E  W 3 ST,1
N/E /C E 40 ST,1
N/E /CO 102 ST,1
N/E 102 ST,3
N/E 102 STREET,1
N/E 104 ST,1
N/E 107 AVE,1
N/E 107 AVE 109 ST,1
N/E 110 ST,1
N/E 116 ST,1
N/E 120 ST,1
N/E 120 STREET,1
N/E 123 ST,2
N/E 124 ST,1
N/E 125 ST,2
N/E 126 ST,2
N/E 127 ST,3
N/E 132 ST,2
N/E 134 RD,2
N/E 134 ST,2
N/E 135 ST,1
N/E 137 ST,1
N/E 138 ST,1
N/E 145 RD,3
N/E 147 ST,2
N/E 149 ST,1
N/E 150 AVE,1
N/E 153 ST,6
N/E 153 STREET,1
N/E 162 ST,1
N/E 163 ST 20,11
N/E 165 ST,1
N/E 168 ST,1
N/E 170 ST,1
N/E 174 ST,2
N/E 182 PL,1
N/E 188 ST,1
N/E 190 ST,1
N/E 194 ST,1
N/E 1ST AVE,1
N/E 20 AVE,2
N/E 200 ST,1
N/E 208 ST,1
N/E 21 ST,3
N/E 211 ST,2
N/E 213 ST,1
N/E 215 ST,3
N/E 220 ST,1
N/E 221,1
N/E 221 ST,2
N/E 233 ST,1
N/E 26 AVE,1
N/E 264 ST,1
N/E 268 ST,1
N/E 281 MAIN ST,11
N/E 29 AVE 3FEET,1
N/E 30 FT 42TRD,1
N/E 30 ST,2
N/E 32 FORCE TUBE AV,1
N/E 33 STREET,2
N/E 35 AVE,1
N/E 39 AVE,1
N/E 3RD,1
N/E 3RD AVE,8
N/E 40 AVE,1
N/E 41 AVE,1
N/E 41 ST,1
N/E 42RD 60FT,1
N/E 44 AVE,1
N/E 44 ST,2
N/E 45 DRIVE,1
N/E 46 AVE,5
N/E 5 ST,1
N/E 51 AV,1
N/E 5102 OF 7TH AVE,0
N/E 52 ST,2
N/E 53RD,1
N/E 54 ST,1
N/E 55 LEX,1
N/E 58 ST,1
N/E 62S T,1
N/E 65 ROAD,1
N/E 65 ST,1
N/E 66 AVE,1
N/E 67 DR,1
N/E 67 ST,1
N/E 7 AVE,1
N/E 7 AVENUE,1
N/E 70 ST,0
N/E 72 ST,1
N/E 73 AVE,1
N/E 74 ST,1
N/E 75 ST,1
N/E 76 ST,3
N/E 77 AVE,2
N/E 78 STREET,2
N/E 7TH AVE,2
N/E 7TH STREET,1
N/E 83 ST,1
N/E 86 RD,1
N/E 86 ST,1
N/E 87 ST,1
N/E 88 AV,1
N/E 89 AVE,1
N/E 9 AVE,2
N/E 90 AVE,1
N/E 91 AVE,2
N/E 91 ST,1
N/E 92 AVE,1
N/E 92 ST,2
N/E 95 AVE,3
N/E 95 ST,1
N/E 97 ST,1
N/E 9TH AVE,1
N/E ADAM POWELL,2
N/E ADAN,1
N/E ADELPHI ST,1
N/E ALABAMA,1
N/E ALBANY AVE,2
N/E ALBERMARLE RD,1
N/E AMSTERDAM,1
N/E ARCHER,1
N/E ARCHER AVE,4
N/E ASHFORD ST,1
N/E ATLANTIC AV,1
N/E ATLANTIC AVE,4
N/E AUBURNDALE LA,1
N/E AUTUMN AV,1
N/E AUTUMN AVE,1
N/E AVE C,1
N/E AVE F,1
N/E AVE K,1
N/E AVE L,1
N/E AVE M,2
N/E AVE N,1
N/E AVE Z,1
N/E B 25TH,1
N/E BARCLAY,1
N/E BARCLAY AVE,1
N/E BAY,1
N/E BAY PKWY,1
N/E BAYRIDGE PKWY,1
N/E BCH 64,1
N/E BCH 77,1
N/E BCH 77ST,1
N/E BEDFORD,1
N/E BEDFORD AVE,1
N/E BEDFORD PK BLVD,2
N/E BELMONT AVE,1
N/E BERGEN,1
N/E BERRIMAN ST,2
N/E BOLLER AVE,1
N/E BOSTON RD,1
N/E BOWNE ST,2
N/E BRADFORD,1
N/E BRIGHTON 14 ST,1
N/E BRIGHTON 5 ST,2
N/E BRIGHTON 7,1
N/E BRIGHTON AV,1
N/E BROADWAY,4
N/E BROOKLYN,1
N/E BROOKLYN AVE,2
N/E C /O E 94 ST,1
N/E C 153 ST,1
N/E C 213 ST,1
N/E C OF SAINT MARYS,2
N/E C TUDORCITY,2
N/E C YOUNG,1
N/E C./O OLD SLIP,1
N/E C/ 48 ST,1
N/E C/ E 41 ST,1
N/E C/0 BELMONT AVE,1
N/E C/E E 232ND ST,2
N/E C/I 146 ST,1
N/E C/I ATLANTIC AVE,1
N/E C/I N/O VERNON,1
N/E C/N 81 ST,1
N/E C/N 96 ST,1
N/E C/O,8
N/E C/O  127 ST,1
N/E C/O  135 PL,1
N/E C/O  44 ST,1
N/E C/O  CROPSEY  AV,1
N/E C/O  E 58 ST,1
N/E C/O  EVERGREEN A,2
N/E C/O  HOOKCREEK B,1
N/E C/O  NORTH BOUND,1
N/E C/O  PARSONS BLV,1
N/E C/O  W 146 ST,1
N/E C/O  W 35 ST,1
N/E C/O  W18,1
N/E C/O 10 AVE,3
N/E C/O 10 BAY PKWY,1
N/E C/O 10 ST,1
N/E C/O 100 ST,2
N/E C/O 101 AVE,3
N/E C/O 101 ST,2
N/E C/O 102 ST,7
N/E C/O 102 ST 15FT,1
N/E C/O 103 ST,1
N/E C/O 104 ST,1
N/E C/O 105 ST,2
N/E C/O 105TH ST,2
N/E C/O 106 T,1
N/E C/O 107 AVE,5
N/E C/O 108 ST,1
N/E C/O 109 AVE,3
N/E C/O 109 AVE123ST,1
N/E C/O 109 ST,2
N/E C/O 10TH AVE,2
N/E C/O 11 AVE,2
N/E C/O 11 ST,1
N/E C/O 111 ST,4
N/E C/O 111ST,1
N/E C/O 113,1
N/E C/O 113 AVE,1
N/E C/O 113 ST,2
N/E C/O 114 2 NORTHE,1
N/E C/O 114 ST,7
N/E C/O 115 AVE,2
N/E C/O 115 RD,2
N/E C/O 115 ST,3
N/E C/O 115TH ST,4
N/E C/O 116 ST,2
N/E C/O 117 RD,1
N/E C/O 118 ST,1
N/E C/O 119 ST,1
N/E C/O 12 AVE,1
N/E C/O 12 ST,1
N/E C/O 120 AVE,3
N/E C/O 121 AVE,1
N/E C/O 121 ST,3
N/E C/O 122 ST,1
N/E C/O 122 STREET,1
N/E C/O 123 ST,1
N/E C/O 124,1
N/E C/O 124 ST,4
N/E C/O 124 STREET,1
N/E C/O 124TH,1
N/E C/O 125,1
N/E C/O 125 ST,14
N/E C/O 125TH,1
N/E C/O 125TH ST,1
N/E C/O 126 ST,2
N/E C/O 126 ST & 22,1
N/E C/O 127,1
N/E C/O 127 ST,13
N/E C/O 127 STREET,1
N/E C/O 129 ST,2
N/E C/O 13 AVE,1
N/E C/O 130 AVE,1
N/E C/O 130 ST,3
N/E C/O 131,1
N/E C/O 131 ST,1
N/E C/O 132 AVE,2
N/E C/O 133 AVE,1
N/E C/O 133 ST,1
N/E C/O 134 ROAD,2
N/E C/O 134 ST,4
N/E C/O 135 AVE,9
N/E C/O 135 AVE 40FT,1
N/E C/O 135 PL,1
N/E C/O 135 ST,3
N/E C/O 135A VE,1
N/E C/O 136 AVE,1
N/E C/O 136 ST,1
N/E C/O 136 W STREET,1
N/E C/O 137 AVE,5
N/E C/O 138,2
N/E C/O 138 ST,6
N/E C/O 1380,1
N/E C/O 139 ST,3
